Document-feature matrix of: 168 documents, 6 features (78.77% sparse) and 6 docvars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                        features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docs,Sum of features,asylbewerberinnen,asylbewerber,asyl,aufnahmezentrum,auffanglager,aufnahmezentren, deportation,deportationen, ausweisung, abschiebung, abschiebungen, kolonialismus, ausweisungen, ausweisen,deportiert,abschiebung,abschieben,deportierte, pull-faktor, fluchtursachen, emigranten,fluchtursache, push-faktoren, auswanderer, migrationsdruck, pull-faktoren, ausgebürgert, ausgewandert,ausländerbehörde, verwiesen, ausgewiesen,ausländeramt, ausbürgern, zuzug,einwanderung, einwanderer, migrationshintergrund, zuwanderung, zuwanderer, einwanderungen, immigration, einwanderin, migranten, flüchtlingskrise, migrationspolitik,migrationskrise, islamophobie, islamfeindlichkeit, wanderarbeiter, flüchtlingsströme, empfängerländer, migrationsströme, nationalismus, neubürger, aufnahmeländer, neubürgerinnen, aufnahmestaaten, multikulturalismus, aufenthaltserlaubnis, transitländer, transitstaaten, flüchtlingsboote, aufenthaltsgenehmigung, flüchtlingsboot, flüchtlinge, geflüchteten, rassismus, flüchtling, rassisten, geflüchtete, rassist, schwarzfahrer, rückführung
  CPP-BT_Bundestag_Plenarprotokoll_18_143_2015-12-03.txt,72,0,3,5,0,0,0,0,0,0,3,11,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,1,0,0,4
  CPP-BT_Bundestag_Plenarprotokoll_18_144_2015-12-04.txt,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,35,0,1,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_145_2015-12-16.txt,63,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,30,0,0,3,0,0,0,0,3
  CPP-BT_Bundestag_Plenarprotokoll_18_146_2015-12-17.txt,136,0,2,7,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,38,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,45,4,1,9,0,1,0,0,3
  CPP-BT_Bundestag_Plenarprotokoll_18_147_2015-12-18.txt,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_148_2016-01-13.txt,70,0,3,1,0,0,0,0,0,4,0,2,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,7,4,1,0,0,2
  CPP-BT_Bundestag_Plenarprotokoll_18_149_2016-01-14.txt,95,0,6,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,3,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,11,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_150_2016-01-15.txt,44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,8,0,2,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_151_2016-01-27.txt,32,0,1,3,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2
  CPP-BT_Bundestag_Plenarprotokoll_18_152_2016-01-28.txt,85,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,1,0,0,0,3,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,5,2,1,0,0,0,0
